cornername,start,end
Start-/Finishline,0,400
Haug-Haken,400,700
AMG-Arena,700,1400
Goodyear-Spange,1400,1700
Ravenol Kurve,1700,1950
BILSTEIN Kurve,1950,2200
ADVAN Bogen,2200,2650
Veedol Schikane,2650,3150
T13,3150,3350
Sabine Schmitz Kurve,3350,3600
Hatzenbach Bogen,3600,3900
Hatzenbach,3900,4600
Hocheichen,4600,5300
Quiddelbacher Höhe,5300,5650
Flugplatz,5600,6600
Schwedenkreuz,6600,6940
Aremberg,6940,7300
Fuchsröhre,7300,8200
Adenauer Forst,8200,8800
Metzgesfeld,8800,9500
Kallenhard,9500,9850
Spiegelkurve,9850,10050
Miss-Hit-Miss,10050,10400
Wehrseifen,10400,10900
Breitscheid,10900,11250
Exmühle,11250,11600
Lauda Links,11600,11950
Bergwerk,11950,12400
Kesselchen,12400,13500
Klostertal,13500,13800
Mutkurve,13800,14500
Steilstrecke,14500,15000
Caracciola-Karussell,15000,15500
Hohe Acht,15500,16250
Hedwigshöhe,16250,16700
Wippermann,16700,17050
Eschbach,17050,17400
Brünnchen,17400,17750
Eiskurve,17750,18200
Pflanzgarten I,18200,18600
Pflanzgarten II,18600,19000
Stefan-Bellof-S,19000,19580
Schwalbenschwanz,19580,20300
Galgenkopf,20300,20900
Döttinger Höhe,20900,22700
Antoniusbuche,22700,23100
Tiergarten,23100,23350
Hohenrain,23350,23800
Start-/Finishline,23800,24155
